Common Name,Scientific.Name
Virginia threeseed mercury,Acalypha virginica L.
red maple,Acer rubrum L.
American hornbeam,Carpinus caroliniana Walt.
starved panicgrass,Dichanthelium depauperatum (Muhl.)Gould
prairie fleabane,Erigeron strigosus Muhl.exWilld.
Virginia creeper,Parthenocissus quinquefolia (L.)Planch.
black cherry,Prunus serotina Ehrh.
roundleaf greenbrier,Smilax rotundifolia L.
blackhaw,Viburnum prunifolium L.
American chestnut,Castanea dentata (Marsh.)Borkh.
white wood aster,Eurybia divaricata (L.)Nesom
northern red oak,Quercus rubra L.
flameleaf sumac,Rhus copallinum L.
mapleleaf viburnum,Viburnum acerifolium L.
nimblewill,Muhlenbergia schreberi J.F.Gmel.
smooth rockcress,Arabis laevigata (Muhl.exWilld.)Poir.
wild sarsaparilla,Aralia nudicaulis L.
butterfly milkweed,Asclepias tuberosa L.
smooth yellow false foxglove,Aureolaria flava (L.)Farw.
parasol sedge,Carex umbellata SchkuhrexWilld.
scaldweed,Cuscuta gronovii Willd.exJ.A.Schultes
nakedflower ticktrefoil,Desmodium nudiflorum (L.)DC.
prostrate ticktrefoil,Desmodium rotundifolium DC.
marginal woodfern,Dryopteris marginalis (L.)Gray
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.
trumpetweed,Eupatorium fistulosum Barratt
red fescue,Festuca rubra L.
Virginia strawberry,Fragaria virginiana Duchesne
licorice bedstraw,Galium circaezans Michx.
fragrant bedstraw,Galium triflorum Michx.
black huckleberry,Gaylussacia baccata (Wangenh.)K.Koch
spotted geranium,Geranium maculatum L.
cream avens,Geum virginianum L.
American witchhazel,Hamamelis virginiana L.
eastern redcedar,Juniperus virginiana L.
mountain laurel,Kalmia latifolia L.
trailing lespedeza,Lespedeza procumbens Michx.
woodland flax,Linum virginianum L.
trumpet honeysuckle,Lonicera sempervirens L.
feathery false lily of the vally,Maianthemum racemosum (L.)Link
partridgeberry,Mitchella repens L.
rock muhly,Muhlenbergia sobolifera (Muhl.exWilld.)Trin.
common evening-primrose,Oenothera biennis L.
devil's-tongue,Opuntia humifusa (Raf.)Raf.
switchgrass,Panicum virgatum L.
broad beechfern,Phegopteris hexagonoptera (Michx.)Fí©e
American lopseed,Phryma leptostachya L.
clammy groundcherry,Physalis heterophylla Nees
pitch pine,Pinus rigida P.Mill.
